DATE,LMUNRRTTDEM156S,country
25569,0.5,DE
25600,0.5,DE
25628,0.6,DE
25659,0.5,DE
25689,0.6,DE
25720,0.6,DE
25750,0.6,DE
25781,0.6,DE
25812,0.6,DE
25842,0.6,DE
25873,0.6,DE
25903,0.5,DE
25934,0.6,DE
25965,0.5,DE
25993,0.6,DE
26024,0.7,DE
26054,0.7,DE
26085,0.7,DE
26115,0.8,DE
26146,0.8,DE
26177,0.8,DE
26207,0.8,DE
26238,0.9,DE
26268,0.9,DE
26299,0.9,DE
26330,0.9,DE
26359,0.8,DE
26390,0.9,DE
26420,1,DE
26451,1,DE
26481,1,DE
26512,1,DE
26543,1,DE
26573,1,DE
26604,1,DE
26634,0.9,DE
26665,0.8,DE
26696,0.8,DE
26724,0.9,DE
26755,0.9,DE
26785,1,DE
26816,1,DE
26846,1.1,DE
26877,1.1,DE
26908,1.1,DE
26938,1.2,DE
26969,1.3,DE
26999,1.6,DE
27030,1.6,DE
27061,1.7,DE
27089,1.8,DE
27120,1.9,DE
27150,2,DE
27181,2.1,DE
27211,2.2,DE
27242,2.3,DE
27273,2.6,DE
27303,2.8,DE
27334,3.1,DE
27364,3.2,DE
27395,3.4,DE
27426,3.6,DE
27454,3.8,DE
27485,4,DE
27515,4.2,DE
27546,4.3,DE
27576,4.3,DE
27607,4.3,DE
27638,4.4,DE
27668,4.3,DE
27699,4.2,DE
27729,4.2,DE
27760,4.1,DE
27791,4.2,DE
27820,4.1,DE
27851,4.1,DE
27881,4,DE
27912,4,DE
27942,3.9,DE
27973,3.9,DE
28004,3.9,DE
28034,3.8,DE
28065,3.8,DE
28095,3.8,DE
28126,3.8,DE
28157,3.8,DE
28185,3.8,DE
28216,3.9,DE
28246,4,DE
28277,4,DE
28307,4,DE
28338,4,DE
28369,4,DE
28399,3.9,DE
28430,3.9,DE
28460,3.9,DE
28491,3.8,DE
28522,3.9,DE
28550,3.9,DE
28581,3.8,DE
28611,3.9,DE
28642,3.8,DE
28672,3.8,DE
28703,3.8,DE
28734,3.7,DE
28764,3.7,DE
28795,3.6,DE
28825,3.6,DE
28856,3.6,DE
28887,3.6,DE
28915,3.4,DE
28946,3.4,DE
28976,3.3,DE
29007,3.3,DE
29037,3.3,DE
29068,3.2,DE
29099,3.2,DE
29129,3.2,DE
29160,3.1,DE
29190,3,DE
29221,3.1,DE
29252,3,DE
29281,3.1,DE
29312,3.2,DE
29342,3.3,DE
29373,3.3,DE
29403,3.4,DE
29434,3.5,DE
29465,3.5,DE
29495,3.6,DE
29526,3.8,DE
29556,3.9,DE
29587,4,DE
29618,4.1,DE
29646,4.3,DE
29677,4.4,DE
29707,4.6,DE
29738,4.7,DE
29768,4.9,DE
29799,5.1,DE
29830,5.3,DE
29860,5.5,DE
29891,5.8,DE
29921,6,DE
29952,6.1,DE
29983,6.2,DE
30011,6.3,DE
30042,6.4,DE
30072,6.5,DE
30103,6.6,DE
30133,6.7,DE
30164,6.9,DE
30195,7.2,DE
30225,7.4,DE
30256,7.6,DE
30286,7.7,DE
30317,7.8,DE
30348,8.1,DE
30376,8.2,DE
30407,8.3,DE
30437,8.3,DE
30468,8.3,DE
30498,8.2,DE
30529,8.2,DE
30560,8.2,DE
30590,8.2,DE
30621,8.1,DE
30651,8.1,DE
30682,8,DE
30713,8,DE
30742,8,DE
30773,8.1,DE
30803,8.1,DE
30834,8.1,DE
30864,8.2,DE
30895,8.2,DE
30926,8.2,DE
30956,8.2,DE
30987,8.1,DE
31017,8.1,DE
31048,8.2,DE
31079,8.2,DE
31107,8.2,DE
31138,8.3,DE
31168,8.3,DE
31199,8.2,DE
31229,8.2,DE
31260,8.2,DE
31291,8.1,DE
31321,8.1,DE
31352,8.2,DE
31382,8.2,DE
31413,8.1,DE
31444,8.1,DE
31472,8.1,DE
31503,8,DE
31533,8,DE
31564,7.9,DE
31594,7.8,DE
31625,7.8,DE
31656,7.7,DE
31686,7.7,DE
31717,7.7,DE
31747,7.7,DE
31778,7.8,DE
31809,7.8,DE
31837,7.9,DE
31868,7.9,DE
31898,7.8,DE
31929,7.9,DE
31959,7.9,DE
31990,7.9,DE
32021,7.9,DE
32051,7.9,DE
32082,7.9,DE
32112,8,DE
32143,7.9,DE
32174,7.9,DE
32203,8,DE
32234,7.9,DE
32264,7.9,DE
32295,7.9,DE
32325,7.8,DE
32356,7.8,DE
32387,7.7,DE
32417,7.6,DE
32448,7.5,DE
32478,7.4,DE
32509,7.3,DE
32540,7.2,DE
32568,7.1,DE
32599,7.2,DE
32629,7.2,DE
32660,7.1,DE
32690,7,DE
32721,7,DE
32752,7,DE
32782,6.9,DE
32813,7.1,DE
32843,7,DE
32874,6.8,DE
32905,6.7,DE
32933,6.6,DE
32964,6.6,DE
32994,6.5,DE
33025,6.5,DE
33055,6.4,DE
33086,6.3,DE
33117,6.2,DE
33147,6.1,DE
33178,6,DE
33208,5.9,DE
33239,5.7,DE
33270,5.7,DE
33298,5.6,DE
33329,5.6,DE
33359,5.6,DE
33390,5.6,DE
33420,5.7,DE
33451,5.7,DE
33482,5.7,DE
33512,5.7,DE
33543,5.6,DE
33573,5.7,DE
33604,7.6,DE
33635,7.4,DE
33664,7.4,DE
33695,7.5,DE
33725,7.6,DE
33756,7.6,DE
33786,7.8,DE
33817,7.8,DE
33848,7.8,DE
33878,7.9,DE
33909,8,DE
33939,8.1,DE
33970,8.2,DE
