DATE,GBRCPIALLMINMEI,country
25569,8.130118822,UK
25600,8.172119436,UK
25628,8.220120138,UK
25659,8.346121979,UK
25689,8.37012233,UK
25720,8.394122681,UK
25750,8.454123558,UK
25781,8.44812347,UK
25812,8.490124084,UK
25842,8.580125399,UK
25873,8.640126276,UK
25903,8.700127153,UK
25934,8.820128907,UK
25965,8.868129608,UK
25993,8.940130661,UK
26024,9.132133467,UK
26054,9.192134344,UK
26085,9.258135308,UK
26115,9.312136098,UK
26146,9.318136185,UK
26177,9.330136361,UK
26207,9.38413715,UK
26238,9.438137939,UK
26268,9.486138641,UK
26299,9.54013943,UK
26330,9.588140131,UK
26359,9.61814057,UK
26390,9.708141885,UK
26420,9.756142587,UK
26451,9.822143551,UK
26481,9.85214399,UK
26512,9.93014513,UK
26543,9.984145919,UK
26573,10.12214794,UK
26604,10.15814846,UK
26634,10.21214925,UK
26665,10.27815022,UK
26696,10.34415118,UK
26724,10.40415206,UK
26755,10.60215495,UK
26785,10.68015609,UK
26816,10.73415688,UK
26846,10.78215758,UK
26877,10.81215802,UK
26908,10.90815942,UK
26938,11.12416258,UK
26969,11.20816381,UK
26999,11.29216504,UK
27030,11.50816819,UK
27061,11.70380705,UK
27089,11.80738057,UK
27120,12.21016645,UK
27150,12.38278898,UK
27181,12.50937883,UK
27211,12.62446051,UK
27242,12.63596868,UK
27273,12.77406669,UK
27303,13.02724639,UK
27334,13.25740976,UK
27364,13.45304862,UK
27395,13.79829366,UK
27426,14.02845703,UK
27454,14.30465306,UK
27485,14.85704514,UK
27515,15.47848622,UK
27546,15.77769859,UK
27576,15.93881295,UK
27607,16.03087829,UK
27638,16.16897631,UK
27668,16.39913967,UK
27699,16.59477853,UK
27729,16.80192556,UK
27760,17.02058076,UK
27791,17.23923595,UK
27820,17.3313013,UK
27851,17.66503818,UK
27881,17.86067704,UK
27912,17.95274238,UK
27942,17.98726689,UK
27973,18.24044659,UK
28004,18.48211812,UK
28034,18.815855,UK
28065,19.08054286,UK
28095,19.33372256,UK
28126,19.84008196,UK
28157,20.03572082,UK
28185,20.23135968,UK
28216,20.74922725,UK
28246,20.91034161,UK
28277,21.1289968,UK
28307,21.15201314,UK
28338,21.25558665,UK
28369,21.37066833,UK
28399,21.46273368,UK
