DATE,LMUNRRTTGBM156N,country
32874,5.6,UK
32905,5.6,UK
32933,5.5,UK
32964,5.4,UK
32994,5.2,UK
33025,5.2,UK
33055,5.4,UK
33086,5.5,UK
33117,5.6,UK
33147,5.5,UK
33178,5.7,UK
33208,6.1,UK
33239,6.6,UK
33270,6.8,UK
33298,7.2,UK
33329,7.4,UK
33359,7.4,UK
33390,7.5,UK
33420,7.9,UK
33451,8.2,UK
33482,8.2,UK
33512,8.1,UK
33543,8.3,UK
33573,8.5,UK
33604,9,UK
33635,9.1,UK
33664,9.1,UK
33695,9.2,UK
33725,9.1,UK
33756,9,UK
33786,9.3,UK
33817,9.6,UK
33848,9.6,UK
33878,9.5,UK
33909,9.6,UK
33939,10,UK
33970,10.4,UK
34001,10.3,UK
34029,10.1,UK
34060,10.2,UK
34090,9.9,UK
34121,9.7,UK
34151,9.9,UK
34182,10,UK
34213,9.9,UK
34243,9.5,UK
34274,9.4,UK
34304,9.4,UK
34335,9.8,UK
34366,9.7,UK
34394,9.5,UK
34425,9.3,UK
34455,9,UK
34486,8.8,UK
34516,9,UK
34547,9,UK
34578,8.8,UK
34608,8.4,UK
34639,8.3,UK
34669,8.2,UK
34700,8.3,UK
34731,8.2,UK
34759,8,UK
34790,7.9,UK
34820,7.7,UK
34851,7.5,UK
34881,7.8,UK
34912,7.8,UK
34943,7.6,UK
34973,7.4,UK
35004,7.3,UK
35034,7.4,UK
35065,7.5,UK
35096,7.5,UK
35125,7.5,UK
35156,7.4,UK
35186,7.4,UK
35217,7.3,UK
35247,7.2,UK
35278,7.1,UK
35309,7,UK
35339,6.9,UK
35370,6.5,UK
35400,6.4,UK
35431,6.3,UK
35462,6,UK
35490,5.8,UK
35521,5.6,UK
35551,5.3,UK
35582,5.1,UK
35612,5.2,UK
35643,5.2,UK
35674,5,UK
35704,4.7,UK
35735,4.6,UK
35765,4.6,UK
35796,4.9,UK
35827,4.8,UK
35855,4.6,UK
35886,4.6,UK
35916,4.5,UK
35947,4.4,UK
35977,4.5,UK
36008,4.6,UK
36039,4.4,UK
36069,4.3,UK
36100,4.2,UK
36130,4.3,UK
36161,4.5,UK
36192,4.5,UK
36220,4.4,UK
36251,4.3,UK
36281,4.2,UK
36312,4.1,UK
36342,4.1,UK
36373,4.1,UK
36404,4,UK
36434,3.8,UK
36465,3.8,UK
36495,3.7,UK
36526,4,UK
36557,4,UK
36586,3.9,UK
36617,3.7,UK
36647,3.6,UK
36678,3.5,UK
36708,3.5,UK
36739,3.5,UK
36770,3.4,UK
36800,3.3,UK
36831,3.2,UK
36861,3.3,UK
36892,3.5,UK
36923,3.5,UK
36951,3.4,UK
36982,3.2,UK
37012,3.2,UK
37043,3.1,UK
37073,3.1,UK
37104,3.1,UK
37135,3,UK
37165,3,UK
37196,3,UK
37226,3.1,UK
37257,3.3,UK
37288,3.3,UK
37316,3.2,UK
37347,3.1,UK
37377,3,UK
37408,3,UK
37438,3.1,UK
37469,3.1,UK
37500,3,UK
37530,2.9,UK
37561,2.9,UK
37591,2.9,UK
37622,3.2,UK
37653,3.2,UK
37681,3.1,UK
37712,3.1,UK
37742,3,UK
37773,3,UK
37803,3,UK
37834,3,UK
37865,2.9,UK
37895,2.8,UK
37926,2.8,UK
37956,2.8,UK
37987,3,UK
38018,3,UK
38047,2.9,UK
38078,2.8,UK
38108,2.7,UK
38139,2.6,UK
38169,2.6,UK
38200,2.7,UK
38231,2.6,UK
38261,2.5,UK
38292,2.5,UK
38322,2.5,UK
38353,2.7,UK
38384,2.7,UK
38412,2.7,UK
38443,2.7,UK
38473,2.7,UK
38504,2.7,UK
38534,2.7,UK
38565,2.7,UK
38596,2.7,UK
38626,2.7,UK
38657,2.7,UK
38687,2.8,UK
38718,2.9,UK
38749,3,UK
38777,3,UK
38808,3,UK
38838,3,UK
38869,2.9,UK
38899,2.9,UK
38930,2.9,UK
38961,2.9,UK
38991,2.9,UK
39022,2.8,UK
39052,2.8,UK
39083,2.9,UK
39114,3,UK
39142,2.9,UK
39173,2.8,UK
39203,2.7,UK
39234,2.6,UK
39264,2.6,UK
39295,2.6,UK
39326,2.5,UK
39356,2.4,UK
39387,2.4,UK
39417,2.4,UK
39448,2.5,UK
39479,2.6,UK
39508,2.5,UK
39539,2.5,UK
39569,2.5,UK
39600,2.5,UK
39630,2.6,UK
39661,2.8,UK
39692,2.8,UK
39722,2.9,UK
39753,3.2,UK
39783,3.5,UK
39814,3.9,UK
39845,4.4,UK
39873,4.6,UK
39904,4.7,UK
39934,4.7,UK
39965,4.7,UK
39995,4.7,UK
40026,4.8,UK
40057,4.8,UK
40087,4.8,UK
40118,4.7,UK
40148,4.7,UK
40179,5,UK
40210,5,UK
40238,4.9,UK
40269,4.8,UK
40299,4.6,UK
40330,4.4,UK
40360,4.4,UK
40391,4.4,UK
40422,4.4,UK
40452,4.3,UK
40483,4.3,UK
40513,4.3,UK
40544,4.6,UK
40575,4.7,UK
40603,4.6,UK
40634,4.6,UK
40664,4.6,UK
40695,4.5,UK
40725,4.7,UK
40756,4.8,UK
40787,4.8,UK
40817,4.7,UK
40848,4.7,UK
40878,4.7,UK
40909,4.9,UK
40940,5,UK
40969,5,UK
41000,4.8,UK
41030,4.7,UK
41061,4.6,UK
41091,4.7,UK
41122,4.7,UK
41153,4.6,UK
41183,4.6,UK
41214,4.6,UK
41244,4.5,UK
41275,4.7,UK
41306,4.8,UK
