DATE,CPALTT01USM661S,country
25569,15.99041419,US
25600,16.07479632,US
25628,16.15917846,US
25659,16.24356059,US
25689,16.28575165,US
25720,16.37013379,US
25750,16.41232485,US
25781,16.45451592,US
25812,16.53889805,US
25842,16.62328019,US
25873,16.70766232,US
25903,16.79204445,US
25934,16.83423552,US
25965,16.83423552,US
25993,16.87642659,US
26024,16.91861765,US
26054,17.00299978,US
26085,17.08738192,US
26115,17.12957298,US
26146,17.17176405,US
26177,17.21395512,US
26207,17.25614618,US
26238,17.29833725,US
26268,17.34052832,US
26299,17.38271938,US
26330,17.46710152,US
26359,17.46710152,US
26390,17.50929258,US
26420,17.55148365,US
26451,17.59367472,US
26481,17.63586578,US
26512,17.67805685,US
26543,17.76243898,US
26573,17.80463005,US
26604,17.88901218,US
26634,17.93120325,US
26665,18.01558538,US
26696,18.14215858,US
26724,18.31092285,US
26755,18.43749604,US
26785,18.52187818,US
26816,18.64845138,US
26846,18.64845138,US
26877,18.98597991,US
26908,19.07036204,US
26938,19.23912631,US
26969,19.36569951,US
26999,19.53446377,US
27030,19.7454191,US
27061,19.95637444,US
27089,20.16732977,US
27120,20.29390297,US
27150,20.5048583,US
27181,20.67362257,US
27211,20.80019577,US
27242,21.05334217,US
27273,21.34867963,US
27303,21.5174439,US
27334,21.72839923,US
27364,21.89716349,US
27395,22.06592776,US
27426,22.19250096,US
27454,22.27688309,US
27485,22.36126523,US
27515,22.40345629,US
27546,22.57222056,US
27576,22.78317589,US
27607,22.86755802,US
27638,23.03632229,US
27668,23.16289549,US
27699,23.33165975,US
27729,23.45823295,US
27760,23.54261509,US
27791,23.58480615,US
27820,23.62699722,US
27851,23.66918829,US
27881,23.79576149,US
27912,23.92233468,US
27942,24.04890788,US
27973,24.17548108,US
28004,24.30205428,US
28034,24.42862748,US
28065,24.51300962,US
28095,24.63958281,US
28126,24.76615601,US
28157,25.01930241,US
28185,25.14587561,US
28216,25.31463988,US
28246,25.39902201,US
28277,25.52559521,US
28307,25.65216841,US
28338,25.77874161,US
28369,25.86312374,US
28399,25.98969694,US
28430,26.15846121,US
28460,26.28503441,US
28491,26.45379867,US
28522,26.58037187,US
28550,26.74913614,US
28581,26.96009147,US
28611,27.21323787,US
28642,27.4241932,US
28672,27.63514853,US
28703,27.8039128,US
28734,28.0570592,US
28764,28.3102056,US
28795,28.47896986,US
28825,28.64773413,US
28856,28.90088053,US
28887,29.19621799,US
28915,29.49155546,US
28946,29.78689292,US
28976,30.12442146,US
29007,30.46194999,US
29037,30.79947852,US
29068,31.09481598,US
29099,31.39015345,US
29129,31.72768198,US
29160,32.06521051,US
29190,32.44493011,US
29221,32.90903184,US
29252,33.33094251,US
29281,33.79504424,US
29312,34.13257277,US
29342,34.4701013,US
29373,34.80762983,US
29403,34.8498209,US
29434,35.1029673,US
29465,35.39830476,US
29495,35.73583329,US
29526,36.11555289,US
29556,36.45308142,US
29587,36.79060996,US
29618,37.12813849,US
29646,37.38128489,US
29677,37.59224022,US
29707,37.84538662,US
29738,38.18291515,US
29768,38.60482581,US
29799,38.90016328,US
29830,39.27988288,US
29860,39.40645608,US
29891,39.57522034,US
29921,39.70179354,US
29952,39.82836674,US
29983,39.95493994,US
30011,39.95493994,US
30042,40.08151314,US
30072,40.46123274,US
30103,40.92533447,US
30133,41.1362898,US
30164,41.22067193,US
30195,41.22067193,US
30225,41.3894362,US
30256,41.34724513,US
30286,41.22067193,US
30317,41.30505407,US
30348,41.34724513,US
30376,41.3894362,US
30407,41.68477367,US
30437,41.85353793,US
30468,41.93792006,US
30498,42.10668433,US
30529,42.23325753,US
30560,42.35983073,US
30590,42.528595,US
30621,42.65516819,US
30651,42.78174139,US
30682,43.07707886,US
30713,43.28803419,US
30742,43.41460739,US
30773,43.58337166,US
30803,43.66775379,US
30834,43.75213592,US
30864,43.92090019,US
30895,44.04747339,US
30926,44.17404659,US
30956,44.34281085,US
30987,44.42719299,US
31017,44.51157512,US
31048,44.59595725,US
31079,44.84910365,US
31107,45.06005898,US
31138,45.14444112,US
31168,45.22882325,US
31199,45.35539645,US
31229,45.43977858,US
31260,45.52416071,US
31291,45.60854285,US
31321,45.77730711,US
31352,45.98826245,US
31382,46.19921778,US
31413,46.36798204,US
31444,46.28359991,US
31472,46.03045351,US
31503,45.86168925,US
31533,45.98826245,US
31564,46.15702671,US
31594,46.19921778,US
31625,46.24140884,US
31656,46.41017311,US
31686,46.49455524,US
31717,46.57893738,US
31747,46.74770164,US
31778,47.00084804,US
31809,47.16961231,US
31837,47.33837657,US
31868,47.5493319,US
31898,47.6759051,US
31929,47.88686044,US
31959,48.01343364,US
31990,48.22438897,US
32021,48.39315323,US
32051,48.51972643,US
32082,48.6884907,US
32112,48.77287283,US
32143,48.9416371,US
32174,49.02601923,US
32203,49.15259243,US
32234,49.4479299,US
32264,49.57450309,US
32295,49.78545843,US
32325,49.99641376,US
32356,50.20736909,US
32387,50.41832442,US
32417,50.58708869,US
32448,50.75585296,US
32478,50.92461722,US
32509,51.13557255,US
32540,51.30433682,US
32568,51.55748322,US
32599,51.93720282,US
32629,52.19034922,US
32660,52.35911348,US
32690,52.52787775,US
32721,52.52787775,US
32752,52.65445095,US
32782,52.90759735,US
32813,53.11855268,US
32843,53.28731694,US
32874,53.79360974,US
32905,54.00456507,US
32933,54.25771147,US
32964,54.38428467,US
32994,54.4686668,US
33025,54.80619534,US
33055,55.05934173,US
33086,55.52344347,US
33117,55.90316306,US
33147,56.28288266,US
33178,56.40945586,US
33208,56.62041119,US
33239,56.83136653,US
33270,56.87355759,US
33298,56.87355759,US
33329,57.00013079,US
33359,57.21108612,US
33390,57.37985039,US
33420,57.46423252,US
33451,57.63299679,US
33482,57.80176106,US
33512,57.88614319,US
33543,58.13928959,US
33573,58.30805385,US
33604,58.35024492,US
33635,58.47681812,US
33664,58.68777345,US
33695,58.81434665,US
33725,58.94091985,US
33756,59.10968412,US
33786,59.27844838,US
33817,59.40502158,US
33848,59.53159478,US
33878,59.78474118,US
33909,59.95350544,US
33939,60.03788758,US
33970,60.24884291,US
34001,60.37541611,US
34029,60.45979824,US
34060,60.67075357,US
34090,60.83951784,US
34121,60.88170891,US
34151,60.96609104,US
34182,61.09266424,US
34213,61.17704637,US
34243,61.43019277,US
34274,61.59895704,US
34304,61.72553024,US
34335,61.72553024,US
34366,61.8942945,US
34394,62.06305877,US
34425,62.10524983,US
34455,62.23182303,US
34486,62.4005873,US
34516,62.61154263,US
34547,62.86468903,US
34578,62.99126223,US
34608,63.0334533,US
34639,63.20221756,US
34669,63.32879076,US
34700,63.49755503,US
34731,63.66631929,US
34759,63.79289249,US
34790,64.04603889,US
34820,64.17261209,US
34851,64.29918529,US
34881,64.38356742,US
34912,64.51014062,US
34943,64.59452276,US
34973,64.76328702,US
35004,64.84766915,US
35034,64.93205129,US
35065,65.26957982,US
35096,65.39615302,US
35125,65.60710835,US
35156,65.86025475,US
35186,65.98682795,US
35217,66.11340115,US
35247,66.23997435,US
35278,66.32435648,US
35309,66.53531181,US
35339,66.74626715,US
35370,66.95722248,US
35400,67.12598674,US
35431,67.25255994,US
35462,67.37913314,US
35490,67.42132421,US
35521,67.46351528,US
35551,67.46351528,US
35582,67.59008847,US
35612,67.67447061,US
35643,67.84323487,US
35674,68.01199914,US
35704,68.13857234,US
35735,68.22295447,US
35765,68.26514554,US
35796,68.34952767,US
35827,68.34952767,US
35855,68.34952767,US
35886,68.4339098,US
35916,68.60267407,US
35947,68.6870562,US
35977,68.85582047,US
36008,68.9402026,US
36039,68.98239367,US
36069,69.15115793,US
36100,69.23554007,US
36130,69.36211327,US
36161,69.48868647,US
36192,69.48868647,US
36220,69.53087753,US
36251,69.99497926,US
36281,70.03717033,US
36312,70.03717033,US
36342,70.33250779,US
36373,70.50127206,US
36404,70.79660953,US
36434,70.92318273,US
36465,71.04975592,US
36495,71.21852019,US
36526,71.42947552,US
36557,71.72481299,US
36586,72.14672365,US
36617,72.10453259,US
36647,72.23110579,US
36678,72.65301645,US
36708,72.86397178,US
36739,72.86397178,US
36770,73.24369138,US
36800,73.37026458,US
36831,73.49683778,US
36861,73.66560205,US
36892,74.08751271,US
36923,74.25627698,US
36951,74.29846804,US
36982,74.42504124,US
37012,74.80476084,US
37043,74.97352511,US
37073,74.84695191,US
37104,74.84695191,US
37135,75.14228937,US
37165,74.93133404,US
37196,74.88914297,US
37226,74.84695191,US
37257,74.97352511,US
37288,75.10009831,US
37316,75.31105364,US
37347,75.64858217,US
37377,75.7329643,US
37408,75.77515537,US
37438,75.94391963,US
37469,76.15487497,US
37500,76.28144817,US
37530,76.45021243,US
37561,76.57678563,US
37591,76.70335883,US
37622,77.04088736,US
37653,77.46279803,US
37681,77.58937123,US
37712,77.29403376,US
37742,77.16746056,US
37773,77.25184269,US
37803,77.50498909,US
37834,77.84251763,US
37865,78.09566402,US
37895,78.01128189,US
37926,78.05347296,US
37956,78.26442829,US
37987,78.60195682,US
38018,78.77072109,US
38047,78.93948535,US
38078,79.06605855,US
38108,79.40358708,US
38139,79.69892455,US
38169,79.78330668,US
38200,79.82549775,US
38231,80.07864415,US
38261,80.50055481,US
38292,80.88027441,US
38322,80.88027441,US
38353,80.83808334,US
38384,81.17561188,US
38412,81.47094934,US
38443,81.72409574,US
38473,81.68190467,US
38504,81.72409574,US
38534,82.23038854,US
38565,82.73668134,US
38596,83.87584013,US
38626,84.00241333,US
38657,83.58050266,US
38687,83.58050266,US
38718,84.08679546,US
38749,84.12898653,US
38777,84.25555973,US
38808,84.67747039,US
38838,84.93061679,US
38869,85.14157212,US
38899,85.60567385,US
38930,85.98539345,US
38961,85.56348279,US
38991,85.18376319,US
39022,85.22595426,US
39052,85.69005599,US
39083,85.83223988,US
39114,86.1651274,US
39142,86.61319652,US
39173,86.87309349,US
39203,87.23213947,US
39234,87.43423468,US
39264,87.58991971,US
39295,87.61692199,US
39326,87.98820338,US
39356,88.25949194,US
39387,88.95311307,US
39417,89.21090048,US
39448,89.51847336,US
39479,89.73491353,US
39508,90.05598755,US
39539,90.26441141,US
39569,90.79855031,US
39600,91.74995886,US
39630,92.40518613,US
39661,92.26764325,US
39692,92.34654054,US
39722,91.55250467,US
39753,89.9315239,US
39783,89.19107068,US
39814,89.41679289,US
39845,89.74250792,US
39873,89.65390668,US
39904,89.74419556,US
39934,89.8762536,US
39965,90.62219166,US
39995,90.59518937,US
40026,90.89854314,US
40057,91.07405798,US
40087,91.34745609,US
40118,91.65334132,US
40148,91.70101723,US
40179,91.76050663,US
40210,91.67317112,US
40238,91.70354869,US
40269,91.72464422,US
40299,91.67696832,US
40330,91.63857445,US
40360,91.80987018,US
40391,91.94403777,US
40422,92.09255032,US
40452,92.41320243,US
40483,92.64736285,US
40513,93.01948805,US
40544,93.32115418,US
40575,93.62113266,US
40603,94.1054861,US
40634,94.54722657,US
40664,94.84804887,US
40695,94.84804887,US
40725,95.09655426,US
40756,95.39653274,US
40787,95.60369087,US
40817,95.66824321,US
40848,95.84502377,US
40878,95.86780695,US
40909,96.12896965,US
40940,96.33444015,US
40969,96.53611344,US
41000,96.6964395,US
41030,96.49645384,US
41061,96.41671273,US
41091,96.44455883,US
41122,97.00485619,US
41153,97.46769219,US
41183,97.73054253,US
41214,97.56641929,US
41244,97.55460579,US
41275,97.74784087,US
41306,98.27860449,US
41334,98.002253,US
41365,97.79762633,US
41395,97.83812975,US
41426,98.07102444,US
41456,98.26299379,US
41487,98.49757612,US
41518,98.53470426,US
41548,98.58744309,US
41579,98.76928659,US
41609,99.03044929,US
41640,99.27051646,US
41671,99.37979132,US
41699,99.58273035,US
41730,99.76837105,US
41760,99.95823084,US
41791,100.0902889,US
41821,100.202939,US
41852,100.1869064,US
41883,100.1940789,US
41913,100.1742491,US
41944,99.98565504,US
41974,99.67723834,US
42005,99.04226279,US
42036,99.29329964,US
42064,99.560791,US
42095,99.66458102,US
42125,99.99324943,US
42156,100.2700228,US
42186,100.4290831,US
42217,100.4286612,US
42248,100.202939,US
42278,100.302088,US
42309,100.4219107,US
42339,100.3139015,US
42370,100.3417476,US
42401,100.2096896,US
42430,100.4105191,US
42461,100.7670336,US
42491,101.0222895,US
42522,101.3193146,US
42552,101.3053916,US
42583,101.5095964,US
42614,101.7091601,US
42644,101.9509149,US
42675,102.0994275,US
42705,102.4027812,US
42736,102.8268015,US
42767,102.9580157,US
42795,102.8284891,US
42826,102.970673,US
42856,102.9149808,US
42887,103.0217242,US
42917,103.0845889,US
42948,103.4963737,US
42979,103.9777737,US
43009,104.0305126,US
43040,104.3524304,US
43070,104.5692925,US
43101,104.9781239,US
43132,105.2561631,US
43160,105.2300046,US
43191,105.459524,US
43221,105.747689,US
43252,105.9738331,US
43282,106.1029378,US
43313,106.281406,US
43344,106.4316062,US
43374,106.6493121,US
43405,106.6007923,US
43435,106.5969952,US
43466,106.5535384,US
43497,106.819764,US
43525,107.2053903,US
43556,107.5631706,US
43586,107.6576786,US
43617,107.7568276,US
43647,108.0458364,US
43678,108.1331719,US
43709,108.2593232,US
43739,108.5276584,US
43770,108.7786952,US
43800,109.0402798,US
43831,109.1989182,US
43862,109.2959577,US
43891,108.8331217,US
