TXTDATE,INTDATE,GDP,COUNTRY
25569,19700101,1051.2,US
25659,19700401,1067.375,US
25750,19700701,1086.059,US
25842,19701001,1088.608,US
25934,19710101,1135.156,US
26024,19710401,1156.271,US
26115,19710701,1177.675,US
26207,19711001,1190.297,US
26299,19720101,1230.609,US
26390,19720401,1266.369,US
26481,19720701,1290.566,US
26573,19721001,1328.904,US
26665,19730101,1377.49,US
26755,19730401,1413.887,US
26846,19730701,1433.838,US
26938,19731001,1476.289,US
27030,19740101,1491.209,US
27120,19740401,1530.056,US
27211,19740701,1560.026,US
27303,19741001,1599.679,US
27395,19750101,1616.116,US
27485,19750401,1651.853,US
27576,19750701,1709.82,US
27668,19751001,1761.831,US
27760,19760101,1820.487,US
27851,19760401,1852.332,US
27942,19760701,1886.558,US
28034,19761001,1934.273,US
28126,19770101,1988.648,US
28216,19770401,2055.909,US
28307,19770701,2118.473,US
28399,19771001,2164.27,US
28491,19780101,2202.76,US
28581,19780401,2331.633,US
28672,19780701,2395.053,US
28764,19781001,2476.949,US
28856,19790101,2526.61,US
28946,19790401,2591.247,US
29037,19790701,2667.565,US
29129,19791001,2723.883,US
29221,19800101,2789.842,US
29312,19800401,2797.352,US
29403,19800701,2856.483,US
29495,19801001,2985.557,US
29587,19810101,3124.206,US
29677,19810401,3162.532,US
29768,19810701,3260.609,US
29860,19811001,3280.818,US
29952,19820101,3274.302,US
30042,19820401,3331.972,US
30133,19820701,3366.322,US
30225,19821001,3402.561,US
30317,19830101,3473.413,US
30407,19830401,3578.848,US
30498,19830701,3689.179,US
30590,19831001,3794.706,US
30682,19840101,3908.054,US
30773,19840401,4009.601,US
30864,19840701,4084.25,US
30956,19841001,4148.551,US
31048,19850101,4230.168,US
31138,19850401,4294.887,US
31229,19850701,4386.773,US
31321,19851001,4444.094,US
31413,19860101,4507.894,US
31503,19860401,4545.34,US
31594,19860701,4607.669,US
31686,19861001,4657.627,US
31778,19870101,4722.156,US
31868,19870401,4806.16,US
31959,19870701,4884.555,US
32051,19871001,5007.994,US
32143,19880101,5073.372,US
32234,19880401,5190.036,US
32325,19880701,5282.835,US
32417,19881001,5399.509,US
32509,19890101,5511.253,US
32599,19890401,5612.463,US
32690,19890701,5695.365,US
32782,19891001,5747.237,US
32874,19900101,5872.701,US
32964,19900401,5960.028,US
33055,19900701,6015.116,US
33147,19901001,6004.733,US
33239,19910101,6035.178,US
33329,19910401,6126.862,US
33420,19910701,6205.937,US
33512,19911001,6264.54,US
33604,19920101,6363.102,US
33695,19920401,6470.763,US
33786,19920701,6566.641,US
33878,19921001,6680.803,US
33970,19930101,6729.459,US
34060,19930401,6808.939,US
34151,19930701,6882.098,US
34243,19931001,7013.738,US
34335,19940101,7115.652,US
34425,19940401,7246.931,US
34516,19940701,7331.075,US
34608,19941001,7455.288,US
34700,19950101,7522.289,US
34790,19950401,7580.997,US
34881,19950701,7683.125,US
34973,19951001,7772.586,US
35065,19960101,7868.468,US
35156,19960401,8032.84,US
35247,19960701,8131.408,US
35339,19961001,8259.771,US
35431,19970101,8362.655,US
35521,19970401,8518.825,US
35612,19970701,8662.823,US
35704,19971001,8765.907,US
35796,19980101,8866.48,US
35886,19980401,8969.699,US
35977,19980701,9121.097,US
36069,19981001,9293.991,US
36161,19990101,9417.264,US
36251,19990401,9524.152,US
36342,19990701,9681.856,US
36434,19991001,9899.378,US
36526,20000101,10002.857,US
36617,20000401,10247.679,US
36708,20000701,10319.825,US
36800,20001001,10439.025,US
36892,20010101,10472.879,US
36982,20010401,10597.822,US
37073,20010701,10596.294,US
37165,20011001,10660.294,US
37257,20020101,10788.952,US
37347,20020401,10893.207,US
37438,20020701,10992.051,US
37530,20021001,11071.463,US
37622,20030101,11183.507,US
37712,20030401,11312.875,US
37803,20030701,11567.326,US
37895,20031001,11769.275,US
37987,20040101,11920.169,US
38078,20040401,12108.987,US
38169,20040701,12303.34,US
38261,20041001,12522.425,US
38353,20050101,12761.337,US
38443,20050401,12910.022,US
38534,20050701,13142.873,US
38626,20051001,13332.316,US
38718,20060101,13603.933,US
38808,20060401,13749.806,US
38899,20060701,13867.469,US
38991,20061001,14037.228,US
39083,20070101,14208.569,US
39173,20070401,14382.363,US
39264,20070701,14535.003,US
