TXTDATE,INTDATE,UNEMPOYMENT,COUNTRY
25569,19700101,3.873710821,US
25600,19700102,4.213118646,US
25628,19700103,4.394144892,US
25659,19700104,4.636632844,US
25689,19700105,4.715396322,US
25720,19700106,5.037165148,US
25750,19700107,5.168257035,US
25781,19700108,5.249112233,US
25812,19700109,5.555931995,US
25842,19700110,5.713055807,US
25873,19700111,5.925578978,US
25903,19700112,5.997516025,US
25934,19710101,5.965565015,US
25965,19710102,5.95202684,US
25993,19710103,6.016815593,US
26024,19710104,5.994840596,US
26054,19710105,5.99747498,US
26085,19710106,6.007435685,US
26115,19710107,6.121166826,US
26146,19710108,6.194005077,US
26177,19710109,6.15033438,US
26207,19710110,6.021206649,US
26238,19710111,6.09518245,US
26268,19710112,5.978583346,US
26299,19720101,5.903825284,US
26330,19720102,5.7773542,US
26359,19720103,5.881486058,US
26390,19720104,5.828140351,US
26420,19720105,5.747115237,US
26451,19720106,5.740007454,US
26481,19720107,5.750726552,US
26512,19720108,5.716975235,US
26543,19720109,5.670239468,US
26573,19720110,5.660360964,US
26604,19720111,5.276361322,US
26634,19720112,5.16307511,US
26665,19730101,4.994857764,US
26696,19730102,5.098482005,US
26724,19730103,5.016886833,US
26755,19730104,5.120382241,US
26785,19730105,4.961317759,US
26816,19730106,4.970570713,US
26846,19730107,4.910517888,US
26877,19730108,4.857441852,US
26908,19730109,4.911468074,US
26938,19730110,4.67167231,US
26969,19730111,4.869220353,US
26999,19730112,4.949729514,US
27030,19740101,5.13249692,US
27061,19740102,5.213312166,US
27089,19740103,5.123862353,US
27120,19740104,5.14081427,US
27150,19740105,5.2174808,US
27181,19740106,5.478862962,US
27211,19740107,5.597959118,US
27242,19740108,5.517833831,US
27273,19740109,6.032392683,US
27303,19740110,6.08579821,US
27334,19740111,6.660699139,US
27364,19740112,7.156350526,US
27395,19750101,8.215824423,US
27426,19750102,8.289681455,US
27454,19750103,8.723755832,US
27485,19750104,8.882102386,US
27515,19750105,9.072998693,US
27546,19750106,8.730854679,US
27576,19750107,8.649227936,US
27607,19750108,8.566574806,US
27638,19750109,8.664073965,US
27668,19750110,8.532583165,US
27699,19750111,8.288959641,US
27729,19750112,8.16745388,US
27760,19760101,8.036011661,US
27791,19760102,7.875095916,US
27820,19760103,7.708051878,US
27851,19760104,7.720404983,US
27881,19760105,7.429877482,US
27912,19760106,7.63621895,US
27942,19760107,7.756261799,US
27973,19760108,7.888590504,US
28004,19760109,7.845768854,US
28034,19760110,7.814070224,US
28065,19760111,7.873779305,US
28095,19760112,7.814891537,US
28126,19770101,7.576533739,US
28157,19770102,7.741125731,US
28185,19770103,7.560765307,US
28216,19770104,7.201763298,US
28246,19770105,7.028861476,US
28277,19770106,7.249181327,US
28307,19770107,6.954253172,US
28338,19770108,7.075444288,US
28369,19770109,6.932804904,US
28399,19770110,6.858847521,US
28430,19770111,6.796080881,US
28460,19770112,6.3852131,US
28491,19780101,6.485561499,US
28522,19780102,6.342549608,US
28550,19780103,6.357471944,US
28581,19780104,6.098876588,US
28611,19780105,6.031845115,US
28642,19780106,5.972094268,US
28672,19780107,6.239048148,US
28703,19780108,6.012208107,US
28734,19780109,6.052473825,US
28764,19780110,5.876627691,US
28795,19780111,5.935286744,US
28825,19780112,6.087092305,US
28856,19790101,5.913912418,US
28887,19790102,5.947346808,US
28915,19790103,5.910212135,US
28946,19790104,5.856456174,US
28976,19790105,5.689991979,US
29007,19790106,5.819489146,US
29037,19790107,5.805718183,US
29068,19790108,6.093806123,US
29099,19790109,5.943827076,US
29129,19790110,6.054548988,US
29160,19790111,6.001019677,US
29190,19790112,6.094070049,US
29221,19800101,6.341723827,US
29252,19800102,6.328776471,US
29281,19800103,6.457216751,US
29312,19800104,6.998020271,US
29342,19800105,7.610353379,US
29373,19800106,7.649870223,US
29403,19800107,7.88270656,US
29434,19800108,7.881837456,US
29465,19800109,7.641620457,US
29495,19800110,7.725748806,US
