datefield,txtdate,intdate,monthdt,quarterdt,yeardt
1970-01-01,25569,19700101,19700101,19700101,19700101
1970-01-02,25570,19700102,19700101,19700101,19700101
1970-01-03,25571,19700103,19700101,19700101,19700101
1970-01-04,25572,19700104,19700101,19700101,19700101
1970-01-05,25573,19700105,19700101,19700101,19700101
1970-01-06,25574,19700106,19700101,19700101,19700101
1970-01-07,25575,19700107,19700101,19700101,19700101
1970-01-08,25576,19700108,19700101,19700101,19700101
1970-01-09,25577,19700109,19700101,19700101,19700101
1970-01-10,25578,19700110,19700101,19700101,19700101
1970-01-11,25579,19700111,19700101,19700101,19700101
1970-01-12,25580,19700112,19700101,19700101,19700101
1970-01-13,25581,19700113,19700101,19700101,19700101
1970-01-14,25582,19700114,19700101,19700101,19700101
1970-01-15,25583,19700115,19700101,19700101,19700101
1970-01-16,25584,19700116,19700101,19700101,19700101
1970-01-17,25585,19700117,19700101,19700101,19700101
1970-01-18,25586,19700118,19700101,19700101,19700101
1970-01-19,25587,19700119,19700101,19700101,19700101
1970-01-20,25588,19700120,19700101,19700101,19700101
1970-01-21,25589,19700121,19700101,19700101,19700101
1970-01-22,25590,19700122,19700101,19700101,19700101
1970-01-23,25591,19700123,19700101,19700101,19700101
1970-01-24,25592,19700124,19700101,19700101,19700101
1970-01-25,25593,19700125,19700101,19700101,19700101
1970-01-26,25594,19700126,19700101,19700101,19700101
1970-01-27,25595,19700127,19700101,19700101,19700101
1970-01-28,25596,19700128,19700101,19700101,19700101
1970-01-29,25597,19700129,19700101,19700101,19700101
1970-01-30,25598,19700130,19700101,19700101,19700101
1970-01-31,25599,19700131,19700101,19700101,19700101
1970-02-01,25600,19700201,19700201,19700101,19700101
1970-02-02,25601,19700202,19700201,19700101,19700101
1970-02-03,25602,19700203,19700201,19700101,19700101
1970-02-04,25603,19700204,19700201,19700101,19700101
1970-02-05,25604,19700205,19700201,19700101,19700101
1970-02-06,25605,19700206,19700201,19700101,19700101
1970-02-07,25606,19700207,19700201,19700101,19700101
1970-02-08,25607,19700208,19700201,19700101,19700101
1970-02-09,25608,19700209,19700201,19700101,19700101
1970-02-10,25609,19700210,19700201,19700101,19700101
1970-02-11,25610,19700211,19700201,19700101,19700101
1970-02-12,25611,19700212,19700201,19700101,19700101
1970-02-13,25612,19700213,19700201,19700101,19700101
1970-02-14,25613,19700214,19700201,19700101,19700101
1970-02-15,25614,19700215,19700201,19700101,19700101
1970-02-16,25615,19700216,19700201,19700101,19700101
1970-02-17,25616,19700217,19700201,19700101,19700101
1970-02-18,25617,19700218,19700201,19700101,19700101
1970-02-19,25618,19700219,19700201,19700101,19700101
1970-02-20,25619,19700220,19700201,19700101,19700101
1970-02-21,25620,19700221,19700201,19700101,19700101
1970-02-22,25621,19700222,19700201,19700101,19700101
1970-02-23,25622,19700223,19700201,19700101,19700101
1970-02-24,25623,19700224,19700201,19700101,19700101
1970-02-25,25624,19700225,19700201,19700101,19700101
1970-02-26,25625,19700226,19700201,19700101,19700101
1970-02-27,25626,19700227,19700201,19700101,19700101
1970-02-28,25627,19700228,19700201,19700101,19700101
1970-03-01,25628,19700301,19700301,19700101,19700101
1970-03-02,25629,19700302,19700301,19700101,19700101
1970-03-03,25630,19700303,19700301,19700101,19700101
1970-03-04,25631,19700304,19700301,19700101,19700101
1970-03-05,25632,19700305,19700301,19700101,19700101
1970-03-06,25633,19700306,19700301,19700101,19700101
1970-03-07,25634,19700307,19700301,19700101,19700101
1970-03-08,25635,19700308,19700301,19700101,19700101
1970-03-09,25636,19700309,19700301,19700101,19700101
1970-03-10,25637,19700310,19700301,19700101,19700101
1970-03-11,25638,19700311,19700301,19700101,19700101
1970-03-12,25639,19700312,19700301,19700101,19700101
1970-03-13,25640,19700313,19700301,19700101,19700101
1970-03-14,25641,19700314,19700301,19700101,19700101
1970-03-15,25642,19700315,19700301,19700101,19700101
1970-03-16,25643,19700316,19700301,19700101,19700101
1970-03-17,25644,19700317,19700301,19700101,19700101
1970-03-18,25645,19700318,19700301,19700101,19700101
1970-03-19,25646,19700319,19700301,19700101,19700101
1970-03-20,25647,19700320,19700301,19700101,19700101
1970-03-21,25648,19700321,19700301,19700101,19700101
1970-03-22,25649,19700322,19700301,19700101,19700101
1970-03-23,25650,19700323,19700301,19700101,19700101
1970-03-24,25651,19700324,19700301,19700101,19700101
1970-03-25,25652,19700325,19700301,19700101,19700101
1970-03-26,25653,19700326,19700301,19700101,19700101
1970-03-27,25654,19700327,19700301,19700101,19700101
1970-03-28,25655,19700328,19700301,19700101,19700101
1970-03-29,25656,19700329,19700301,19700101,19700101
1970-03-30,25657,19700330,19700301,19700101,19700101
1970-03-31,25658,19700331,19700301,19700101,19700101
1970-04-01,25659,19700401,19700401,19700401,19700101
1970-04-02,25660,19700402,19700401,19700401,19700101
1970-04-03,25661,19700403,19700401,19700401,19700101
1970-04-04,25662,19700404,19700401,19700401,19700101
1970-04-05,25663,19700405,19700401,19700401,19700101
1970-04-06,25664,19700406,19700401,19700401,19700101
1970-04-07,25665,19700407,19700401,19700401,19700101
