txtdate,intdate,cpi,country
25569,19700101,15.99041419,US
25600,19700201,16.07479632,US
25628,19700301,16.15917846,US
25659,19700401,16.24356059,US
25689,19700501,16.28575165,US
25720,19700601,16.37013379,US
25750,19700701,16.41232485,US
25781,19700801,16.45451592,US
25812,19700901,16.53889805,US
25842,19701001,16.62328019,US
25873,19701101,16.70766232,US
25903,19701201,16.79204445,US
25934,19710101,16.83423552,US
25965,19710201,16.83423552,US
25993,19710301,16.87642659,US
26024,19710401,16.91861765,US
26054,19710501,17.00299978,US
26085,19710601,17.08738192,US
26115,19710701,17.12957298,US
26146,19710801,17.17176405,US
26177,19710901,17.21395512,US
26207,19711001,17.25614618,US
26238,19711101,17.29833725,US
26268,19711201,17.34052832,US
26299,19720101,17.38271938,US
26330,19720201,17.46710152,US
26359,19720301,17.46710152,US
26390,19720401,17.50929258,US
26420,19720501,17.55148365,US
26451,19720601,17.59367472,US
26481,19720701,17.63586578,US
26512,19720801,17.67805685,US
26543,19720901,17.76243898,US
26573,19721001,17.80463005,US
26604,19721101,17.88901218,US
26634,19721201,17.93120325,US
26665,19730101,18.01558538,US
26696,19730201,18.14215858,US
26724,19730301,18.31092285,US
26755,19730401,18.43749604,US
26785,19730501,18.52187818,US
26816,19730601,18.64845138,US
26846,19730701,18.64845138,US
26877,19730801,18.98597991,US
26908,19730901,19.07036204,US
26938,19731001,19.23912631,US
26969,19731101,19.36569951,US
26999,19731201,19.53446377,US
27030,19740101,19.7454191,US
27061,19740201,19.95637444,US
27089,19740301,20.16732977,US
27120,19740401,20.29390297,US
27150,19740501,20.5048583,US
27181,19740601,20.67362257,US
27211,19740701,20.80019577,US
27242,19740801,21.05334217,US
27273,19740901,21.34867963,US
27303,19741001,21.5174439,US
27334,19741101,21.72839923,US
27364,19741201,21.89716349,US
27395,19750101,22.06592776,US
27426,19750201,22.19250096,US
27454,19750301,22.27688309,US
27485,19750401,22.36126523,US
27515,19750501,22.40345629,US
27546,19750601,22.57222056,US
27576,19750701,22.78317589,US
27607,19750801,22.86755802,US
27638,19750901,23.03632229,US
27668,19751001,23.16289549,US
27699,19751101,23.33165975,US
27729,19751201,23.45823295,US
27760,19760101,23.54261509,US
27791,19760201,23.58480615,US
27820,19760301,23.62699722,US
27851,19760401,23.66918829,US
27881,19760501,23.79576149,US
27912,19760601,23.92233468,US
27942,19760701,24.04890788,US
27973,19760801,24.17548108,US
28004,19760901,24.30205428,US
28034,19761001,24.42862748,US
28065,19761101,24.51300962,US
28095,19761201,24.63958281,US
28126,19770101,24.76615601,US
28157,19770201,25.01930241,US
28185,19770301,25.14587561,US
28216,19770401,25.31463988,US
28246,19770501,25.39902201,US
28277,19770601,25.52559521,US
28307,19770701,25.65216841,US
28338,19770801,25.77874161,US
28369,19770901,25.86312374,US
28399,19771001,25.98969694,US
28430,19771101,26.15846121,US
28460,19771201,26.28503441,US
28491,19780101,26.45379867,US
28522,19780201,26.58037187,US
28550,19780301,26.74913614,US
28581,19780401,26.96009147,US
28611,19780501,27.21323787,US
28642,19780601,27.4241932,US
28672,19780701,27.63514853,US
28703,19780801,27.8039128,US
28734,19780901,28.0570592,US
28764,19781001,28.3102056,US
28795,19781101,28.47896986,US
28825,19781201,28.64773413,US
28856,19790101,28.90088053,US
28887,19790201,29.19621799,US
28915,19790301,29.49155546,US
28946,19790401,29.78689292,US
28976,19790501,30.12442146,US
29007,19790601,30.46194999,US
29037,19790701,30.79947852,US
29068,19790801,31.09481598,US
29099,19790901,31.39015345,US
29129,19791001,31.72768198,US
29160,19791101,32.06521051,US
29190,19791201,32.44493011,US
29221,19800101,32.90903184,US
29252,19800201,33.33094251,US
29281,19800301,33.79504424,US
29312,19800401,34.13257277,US
29342,19800501,34.4701013,US
29373,19800601,34.80762983,US
29403,19800701,34.8498209,US
29434,19800801,35.1029673,US
29465,19800901,35.39830476,US
29495,19801001,35.73583329,US
29526,19801101,36.11555289,US
29556,19801201,36.45308142,US
29587,19810101,36.79060996,US
29618,19810201,37.12813849,US
29646,19810301,37.38128489,US
29677,19810401,37.59224022,US
29707,19810501,37.84538662,US
29738,19810601,38.18291515,US
29768,19810701,38.60482581,US
29799,19810801,38.90016328,US
29830,19810901,39.27988288,US
29860,19811001,39.40645608,US
29891,19811101,39.57522034,US
29921,19811201,39.70179354,US
29952,19820101,39.82836674,US
29983,19820201,39.95493994,US
30011,19820301,39.95493994,US
30042,19820401,40.08151314,US
30072,19820501,40.46123274,US
30103,19820601,40.92533447,US
30133,19820701,41.1362898,US
30164,19820801,41.22067193,US
30195,19820901,41.22067193,US
30225,19821001,41.3894362,US
30256,19821101,41.34724513,US
30286,19821201,41.22067193,US
30317,19830101,41.30505407,US
30348,19830201,41.34724513,US
30376,19830301,41.3894362,US
30407,19830401,41.68477367,US
30437,19830501,41.85353793,US
30468,19830601,41.93792006,US
30498,19830701,42.10668433,US
30529,19830801,42.23325753,US
30560,19830901,42.35983073,US
30590,19831001,42.528595,US
30621,19831101,42.65516819,US
30651,19831201,42.78174139,US
30682,19840101,43.07707886,US
30713,19840201,43.28803419,US
30742,19840301,43.41460739,US
30773,19840401,43.58337166,US
30803,19840501,43.66775379,US
30834,19840601,43.75213592,US
30864,19840701,43.92090019,US
30895,19840801,44.04747339,US
30926,19840901,44.17404659,US
30956,19841001,44.34281085,US
30987,19841101,44.42719299,US
31017,19841201,44.51157512,US
31048,19850101,44.59595725,US
31079,19850201,44.84910365,US
31107,19850301,45.06005898,US
31138,19850401,45.14444112,US
31168,19850501,45.22882325,US
31199,19850601,45.35539645,US
31229,19850701,45.43977858,US
31260,19850801,45.52416071,US
31291,19850901,45.60854285,US
31321,19851001,45.77730711,US
31352,19851101,45.98826245,US
31382,19851201,46.19921778,US
31413,19860101,46.36798204,US
31444,19860201,46.28359991,US
31472,19860301,46.03045351,US
31503,19860401,45.86168925,US
31533,19860501,45.98826245,US
31564,19860601,46.15702671,US
31594,19860701,46.19921778,US
31625,19860801,46.24140884,US
31656,19860901,46.41017311,US
31686,19861001,46.49455524,US
31717,19861101,46.57893738,US
31747,19861201,46.74770164,US
31778,19870101,47.00084804,US
31809,19870201,47.16961231,US
31837,19870301,47.33837657,US
31868,19870401,47.5493319,US
31898,19870501,47.6759051,US
31929,19870601,47.88686044,US
31959,19870701,48.01343364,US
31990,19870801,48.22438897,US
32021,19870901,48.39315323,US
32051,19871001,48.51972643,US
32082,19871101,48.6884907,US
32112,19871201,48.77287283,US
32143,19880101,48.9416371,US
32174,19880201,49.02601923,US
32203,19880301,49.15259243,US
32234,19880401,49.4479299,US
32264,19880501,49.57450309,US
32295,19880601,49.78545843,US
32325,19880701,49.99641376,US
32356,19880801,50.20736909,US
32387,19880901,50.41832442,US
32417,19881001,50.58708869,US
32448,19881101,50.75585296,US
32478,19881201,50.92461722,US
32509,19890101,51.13557255,US
32540,19890201,51.30433682,US
32568,19890301,51.55748322,US
32599,19890401,51.93720282,US
32629,19890501,52.19034922,US
32660,19890601,52.35911348,US
32690,19890701,52.52787775,US
32721,19890801,52.52787775,US
32752,19890901,52.65445095,US
32782,19891001,52.90759735,US
32813,19891101,53.11855268,US
32843,19891201,53.28731694,US
32874,19900101,53.79360974,US
32905,19900201,54.00456507,US
32933,19900301,54.25771147,US
32964,19900401,54.38428467,US
32994,19900501,54.4686668,US
33025,19900601,54.80619534,US
33055,19900701,55.05934173,US
33086,19900801,55.52344347,US
33117,19900901,55.90316306,US
33147,19901001,56.28288266,US
33178,19901101,56.40945586,US
33208,19901201,56.62041119,US
33239,19910101,56.83136653,US
33270,19910201,56.87355759,US
33298,19910301,56.87355759,US
33329,19910401,57.00013079,US
33359,19910501,57.21108612,US
33390,19910601,57.37985039,US
33420,19910701,57.46423252,US
33451,19910801,57.63299679,US
33482,19910901,57.80176106,US
33512,19911001,57.88614319,US
33543,19911101,58.13928959,US
33573,19911201,58.30805385,US
33604,19920101,58.35024492,US
33635,19920201,58.47681812,US
33664,19920301,58.68777345,US
33695,19920401,58.81434665,US
33725,19920501,58.94091985,US
33756,19920601,59.10968412,US
33786,19920701,59.27844838,US
33817,19920801,59.40502158,US
33848,19920901,59.53159478,US
33878,19921001,59.78474118,US
33909,19921101,59.95350544,US
33939,19921201,60.03788758,US
33970,19930101,60.24884291,US
34001,19930201,60.37541611,US
34029,19930301,60.45979824,US
34060,19930401,60.67075357,US
34090,19930501,60.83951784,US
34121,19930601,60.88170891,US
34151,19930701,60.96609104,US
34182,19930801,61.09266424,US
34213,19930901,61.17704637,US
34243,19931001,61.43019277,US
34274,19931101,61.59895704,US
34304,19931201,61.72553024,US
34335,19940101,61.72553024,US
34366,19940201,61.8942945,US
34394,19940301,62.06305877,US
34425,19940401,62.10524983,US
34455,19940501,62.23182303,US
34486,19940601,62.4005873,US
34516,19940701,62.61154263,US
34547,19940801,62.86468903,US
34578,19940901,62.99126223,US
34608,19941001,63.0334533,US
34639,19941101,63.20221756,US
34669,19941201,63.32879076,US
34700,19950101,63.49755503,US
34731,19950201,63.66631929,US
34759,19950301,63.79289249,US
34790,19950401,64.04603889,US
34820,19950501,64.17261209,US
34851,19950601,64.29918529,US
34881,19950701,64.38356742,US
34912,19950801,64.51014062,US
34943,19950901,64.59452276,US
34973,19951001,64.76328702,US
35004,19951101,64.84766915,US
35034,19951201,64.93205129,US
35065,19960101,65.26957982,US
35096,19960201,65.39615302,US
35125,19960301,65.60710835,US
35156,19960401,65.86025475,US
35186,19960501,65.98682795,US
35217,19960601,66.11340115,US
35247,19960701,66.23997435,US
35278,19960801,66.32435648,US
35309,19960901,66.53531181,US
35339,19961001,66.74626715,US
35370,19961101,66.95722248,US
35400,19961201,67.12598674,US
35431,19970101,67.25255994,US
35462,19970201,67.37913314,US
35490,19970301,67.42132421,US
35521,19970401,67.46351528,US
35551,19970501,67.46351528,US
35582,19970601,67.59008847,US
35612,19970701,67.67447061,US
35643,19970801,67.84323487,US
35674,19970901,68.01199914,US
35704,19971001,68.13857234,US
35735,19971101,68.22295447,US
35765,19971201,68.26514554,US
35796,19980101,68.34952767,US
35827,19980201,68.34952767,US
35855,19980301,68.34952767,US
35886,19980401,68.4339098,US
35916,19980501,68.60267407,US
35947,19980601,68.6870562,US
35977,19980701,68.85582047,US
36008,19980801,68.9402026,US
36039,19980901,68.98239367,US
36069,19981001,69.15115793,US
36100,19981101,69.23554007,US
36130,19981201,69.36211327,US
36161,19990101,69.48868647,US
36192,19990201,69.48868647,US
36220,19990301,69.53087753,US
36251,19990401,69.99497926,US
36281,19990501,70.03717033,US
36312,19990601,70.03717033,US
36342,19990701,70.33250779,US
36373,19990801,70.50127206,US
36404,19990901,70.79660953,US
36434,19991001,70.92318273,US
36465,19991101,71.04975592,US
36495,19991201,71.21852019,US
36526,20000101,71.42947552,US
36557,20000201,71.72481299,US
36586,20000301,72.14672365,US
36617,20000401,72.10453259,US
36647,20000501,72.23110579,US
36678,20000601,72.65301645,US
36708,20000701,72.86397178,US
36739,20000801,72.86397178,US
36770,20000901,73.24369138,US
36800,20001001,73.37026458,US
36831,20001101,73.49683778,US
36861,20001201,73.66560205,US
36892,20010101,74.08751271,US
36923,20010201,74.25627698,US
36951,20010301,74.29846804,US
36982,20010401,74.42504124,US
37012,20010501,74.80476084,US
37043,20010601,74.97352511,US
37073,20010701,74.84695191,US
37104,20010801,74.84695191,US
37135,20010901,75.14228937,US
37165,20011001,74.93133404,US
37196,20011101,74.88914297,US
37226,20011201,74.84695191,US
37257,20020101,74.97352511,US
37288,20020201,75.10009831,US
37316,20020301,75.31105364,US
37347,20020401,75.64858217,US
37377,20020501,75.7329643,US
37408,20020601,75.77515537,US
37438,20020701,75.94391963,US
37469,20020801,76.15487497,US
37500,20020901,76.28144817,US
37530,20021001,76.45021243,US
37561,20021101,76.57678563,US
37591,20021201,76.70335883,US
37622,20030101,77.04088736,US
37653,20030201,77.46279803,US
37681,20030301,77.58937123,US
37712,20030401,77.29403376,US
37742,20030501,77.16746056,US
37773,20030601,77.25184269,US
37803,20030701,77.50498909,US
37834,20030801,77.84251763,US
37865,20030901,78.09566402,US
37895,20031001,78.01128189,US
37926,20031101,78.05347296,US
37956,20031201,78.26442829,US
37987,20040101,78.60195682,US
38018,20040201,78.77072109,US
38047,20040301,78.93948535,US
38078,20040401,79.06605855,US
38108,20040501,79.40358708,US
38139,20040601,79.69892455,US
38169,20040701,79.78330668,US
38200,20040801,79.82549775,US
38231,20040901,80.07864415,US
38261,20041001,80.50055481,US
38292,20041101,80.88027441,US
38322,20041201,80.88027441,US
38353,20050101,80.83808334,US
38384,20050201,81.17561188,US
38412,20050301,81.47094934,US
38443,20050401,81.72409574,US
38473,20050501,81.68190467,US
38504,20050601,81.72409574,US
38534,20050701,82.23038854,US
38565,20050801,82.73668134,US
38596,20050901,83.87584013,US
38626,20051001,84.00241333,US
38657,20051101,83.58050266,US
38687,20051201,83.58050266,US
38718,20060101,84.08679546,US
38749,20060201,84.12898653,US
38777,20060301,84.25555973,US
38808,20060401,84.67747039,US
38838,20060501,84.93061679,US
38869,20060601,85.14157212,US
38899,20060701,85.60567385,US
38930,20060801,85.98539345,US
38961,20060901,85.56348279,US
38991,20061001,85.18376319,US
39022,20061101,85.22595426,US
39052,20061201,85.69005599,US
39083,20070101,85.83223988,US
39114,20070201,86.1651274,US
39142,20070301,86.61319652,US
39173,20070401,86.87309349,US
39203,20070501,87.23213947,US
39234,20070601,87.43423468,US
39264,20070701,87.58991971,US
39295,20070801,87.61692199,US
39326,20070901,87.98820338,US
39356,20071001,88.25949194,US
39387,20071101,88.95311307,US
39417,20071201,89.21090048,US
39448,20080101,89.51847336,US
39479,20080201,89.73491353,US
39508,20080301,90.05598755,US
39539,20080401,90.26441141,US
39569,20080501,90.79855031,US
39600,20080601,91.74995886,US
39630,20080701,92.40518613,US
39661,20080801,92.26764325,US
39692,20080901,92.34654054,US
39722,20081001,91.55250467,US
39753,20081101,89.9315239,US
39783,20081201,89.19107068,US
39814,20090101,89.41679289,US
39845,20090201,89.74250792,US
39873,20090301,89.65390668,US
39904,20090401,89.74419556,US
39934,20090501,89.8762536,US
39965,20090601,90.62219166,US
39995,20090701,90.59518937,US
40026,20090801,90.89854314,US
40057,20090901,91.07405798,US
40087,20091001,91.34745609,US
40118,20091101,91.65334132,US
40148,20091201,91.70101723,US
40179,20100101,91.76050663,US
40210,20100201,91.67317112,US
40238,20100301,91.70354869,US
40269,20100401,91.72464422,US
40299,20100501,91.67696832,US
40330,20100601,91.63857445,US
40360,20100701,91.80987018,US
40391,20100801,91.94403777,US
40422,20100901,92.09255032,US
40452,20101001,92.41320243,US
40483,20101101,92.64736285,US
40513,20101201,93.01948805,US
40544,20110101,93.32115418,US
40575,20110201,93.62113266,US
40603,20110301,94.1054861,US
40634,20110401,94.54722657,US
40664,20110501,94.84804887,US
40695,20110601,94.84804887,US
40725,20110701,95.09655426,US
40756,20110801,95.39653274,US
40787,20110901,95.60369087,US
40817,20111001,95.66824321,US
40848,20111101,95.84502377,US
40878,20111201,95.86780695,US
40909,20120101,96.12896965,US
40940,20120201,96.33444015,US
40969,20120301,96.53611344,US
41000,20120401,96.6964395,US
41030,20120501,96.49645384,US
41061,20120601,96.41671273,US
41091,20120701,96.44455883,US
41122,20120801,97.00485619,US
41153,20120901,97.46769219,US
41183,20121001,97.73054253,US
41214,20121101,97.56641929,US
