txtdate,intdate,recession_indicator,country
28491,19780101,t,CN
28492,19780102,t,CN
28493,19780103,t,CN
28494,19780104,t,CN
28495,19780105,t,CN
28496,19780106,t,CN
28497,19780107,t,CN
28498,19780108,t,CN
28499,19780109,t,CN
28500,19780110,t,CN
28501,19780111,t,CN
28502,19780112,t,CN
28503,19780113,t,CN
28504,19780114,t,CN
28505,19780115,t,CN
28506,19780116,t,CN
28507,19780117,t,CN
28508,19780118,t,CN
28509,19780119,t,CN
28510,19780120,t,CN
28511,19780121,t,CN
28512,19780122,t,CN
28513,19780123,t,CN
28514,19780124,t,CN
28515,19780125,t,CN
28516,19780126,t,CN
28517,19780127,t,CN
28518,19780128,t,CN
28519,19780129,t,CN
28520,19780130,t,CN
28521,19780131,t,CN
28522,19780201,t,CN
28523,19780202,t,CN
28524,19780203,t,CN
28525,19780204,t,CN
28526,19780205,t,CN
28527,19780206,t,CN
28528,19780207,t,CN
28529,19780208,t,CN
28530,19780209,t,CN
28531,19780210,t,CN
28532,19780211,t,CN
28533,19780212,t,CN
28534,19780213,t,CN
28535,19780214,t,CN
28536,19780215,t,CN
28537,19780216,t,CN
28538,19780217,t,CN
28539,19780218,t,CN
28540,19780219,t,CN
28541,19780220,t,CN
28542,19780221,t,CN
28543,19780222,t,CN
28544,19780223,t,CN
28545,19780224,t,CN
28546,19780225,t,CN
28547,19780226,t,CN
28548,19780227,t,CN
28549,19780228,t,CN
28550,19780301,t,CN
28551,19780302,t,CN
28552,19780303,t,CN
28553,19780304,t,CN
28554,19780305,t,CN
28555,19780306,t,CN
28556,19780307,t,CN
28557,19780308,t,CN
28558,19780309,t,CN
28559,19780310,t,CN
28560,19780311,t,CN
28561,19780312,t,CN
28562,19780313,t,CN
28563,19780314,t,CN
28564,19780315,t,CN
28565,19780316,t,CN
28566,19780317,t,CN
28567,19780318,t,CN
28568,19780319,t,CN
28569,19780320,t,CN
28570,19780321,t,CN
28571,19780322,t,CN
28572,19780323,t,CN
28573,19780324,t,CN
28574,19780325,t,CN
28575,19780326,t,CN
28576,19780327,t,CN
28577,19780328,t,CN
28578,19780329,t,CN
28579,19780330,t,CN
28580,19780331,t,CN
28581,19780401,t,CN
28582,19780402,t,CN
28583,19780403,t,CN
28584,19780404,t,CN
28585,19780405,t,CN
28586,19780406,t,CN
28587,19780407,t,CN
28588,19780408,t,CN
28589,19780409,t,CN
28590,19780410,t,CN
28591,19780411,t,CN
28592,19780412,t,CN
28593,19780413,t,CN
28594,19780414,t,CN
28595,19780415,t,CN
28596,19780416,t,CN
28597,19780417,t,CN
28598,19780418,t,CN
28599,19780419,t,CN
28600,19780420,t,CN
28601,19780421,t,CN
28602,19780422,t,CN
28603,19780423,t,CN
28604,19780424,t,CN
28605,19780425,t,CN
28606,19780426,t,CN
28607,19780427,t,CN
28608,19780428,t,CN
28609,19780429,t,CN
28610,19780430,t,CN
28611,19780501,t,CN
28612,19780502,t,CN
28613,19780503,t,CN
28614,19780504,t,CN
28615,19780505,t,CN
28616,19780506,t,CN
28617,19780507,t,CN
28618,19780508,t,CN
28619,19780509,t,CN
28620,19780510,t,CN
28621,19780511,t,CN
28622,19780512,t,CN
28623,19780513,t,CN
28624,19780514,t,CN
28625,19780515,t,CN
28626,19780516,t,CN
28627,19780517,t,CN
28628,19780518,t,CN
28629,19780519,t,CN
28630,19780520,t,CN
28631,19780521,t,CN
28632,19780522,t,CN
28633,19780523,t,CN
28634,19780524,t,CN
28635,19780525,t,CN
28636,19780526,t,CN
28637,19780527,t,CN
28638,19780528,t,CN
28639,19780529,t,CN
28640,19780530,t,CN
28641,19780531,t,CN
28642,19780601,t,CN
28643,19780602,t,CN
28644,19780603,t,CN
28645,19780604,t,CN
28646,19780605,t,CN
28647,19780606,t,CN
28648,19780607,t,CN
28649,19780608,t,CN
28650,19780609,t,CN
28651,19780610,t,CN
28652,19780611,t,CN
28653,19780612,t,CN
28654,19780613,t,CN
28655,19780614,t,CN
28656,19780615,t,CN
28657,19780616,t,CN
28658,19780617,t,CN
28659,19780618,t,CN
28660,19780619,t,CN
28661,19780620,t,CN
28662,19780621,t,CN
28663,19780622,t,CN
28664,19780623,t,CN
28665,19780624,t,CN
28666,19780625,t,CN
28667,19780626,t,CN
28668,19780627,t,CN
28669,19780628,t,CN
28670,19780629,t,CN
28671,19780630,t,CN
28672,19780701,t,CN
28673,19780702,t,CN
28674,19780703,t,CN
28675,19780704,t,CN
28676,19780705,t,CN
28677,19780706,t,CN
28678,19780707,t,CN
28679,19780708,t,CN
28680,19780709,t,CN
28681,19780710,t,CN
28682,19780711,t,CN
28683,19780712,t,CN
28684,19780713,t,CN
28685,19780714,t,CN
28686,19780715,t,CN
28687,19780716,t,CN
28688,19780717,t,CN
28689,19780718,t,CN
28690,19780719,t,CN
28691,19780720,t,CN
28692,19780721,t,CN
28693,19780722,t,CN
28694,19780723,t,CN
28695,19780724,t,CN
28696,19780725,t,CN
28697,19780726,t,CN
28698,19780727,t,CN
28699,19780728,t,CN
28700,19780729,t,CN
28701,19780730,t,CN
28702,19780731,t,CN
28703,19780801,t,CN
28704,19780802,t,CN
28705,19780803,t,CN
28706,19780804,t,CN
28707,19780805,t,CN
28708,19780806,t,CN
28709,19780807,t,CN
28710,19780808,t,CN
28711,19780809,t,CN
28712,19780810,t,CN
28713,19780811,t,CN
28714,19780812,t,CN
