date,open,high,low,close,ticker
36643,$143.00,$147.34,$143.00,$146.00,SPY
36644,$147.00,$147.86,$145.06,$145.09,SPY
36647,$146.56,$148.48,$145.84,$147.06,SPY
36648,$145.50,$147.13,$144.13,$144.13,SPY
36649,$144.00,$144.00,$139.78,$140.75,SPY
36650,$142.00,$142.36,$140.75,$141.81,SPY
36651,$141.06,$144.00,$140.94,$143.53,SPY
36654,$142.75,$143.38,$141.84,$142.45,SPY
36655,$143.06,$143.41,$140.27,$141.31,SPY
36656,$140.50,$140.97,$137.75,$138.13,SPY
36657,$140.13,$141.50,$139.13,$141.28,SPY
36658,$141.81,$143.47,$141.63,$142.81,SPY
36661,$142.75,$145.61,$142.00,$145.28,SPY
36662,$146.56,$147.72,$145.31,$146.69,SPY
36663,$145.69,$146.19,$144.47,$145.16,SPY
36664,$145.63,$146.31,$143.38,$143.38,SPY
36665,$142.56,$143.23,$140.41,$141.13,SPY
36668,$141.25,$141.47,$137.00,$140.06,SPY
36669,$140.44,$140.81,$137.56,$138.00,SPY
36670,$138.00,$140.69,$136.50,$140.25,SPY
36671,$140.69,$141.81,$137.72,$137.84,SPY
36672,$138.81,$139.69,$137.33,$138.00,SPY
36676,$140.00,$142.94,$139.47,$142.50,SPY
36677,$142.56,$144.00,$142.09,$142.81,SPY
36678,$143.69,$145.44,$143.00,$145.31,SPY
36679,$148.94,$149.09,$147.48,$147.84,SPY
36682,$147.47,$148.22,$146.88,$147.13,SPY
36683,$146.63,$147.78,$145.91,$146.47,SPY
36684,$146.63,$148.00,$146.00,$147.48,SPY
36685,$147.50,$147.75,$146.06,$146.91,SPY
36686,$147.50,$147.97,$145.63,$146.59,SPY
36689,$146.97,$146.97,$144.88,$144.88,SPY
36690,$144.81,$147.75,$144.63,$147.59,SPY
36691,$148.25,$148.88,$147.19,$147.84,SPY
36692,$148.13,$148.75,$146.84,$148.16,SPY
36693,$148.31,$148.31,$145.88,$146.59,SPY
36696,$146.47,$149.16,$146.25,$148.47,SPY
36697,$148.19,$148.88,$147.00,$147.94,SPY
36698,$146.94,$148.44,$146.89,$147.88,SPY
36699,$147.56,$147.69,$145.00,$145.63,SPY
36700,$145.81,$146.13,$143.88,$144.38,SPY
36703,$145.38,$146.25,$144.88,$146.23,SPY
36704,$145.98,$146.72,$145.02,$145.16,SPY
36705,$145.63,$146.98,$145.31,$145.56,SPY
36706,$144.75,$145.75,$143.52,$144.19,SPY
36707,$143.94,$145.59,$143.89,$145.28,SPY
36710,$145.44,$147.44,$145.19,$147.28,SPY
36712,$146.38,$146.66,$144.38,$144.63,SPY
36713,$144.94,$146.47,$144.22,$145.75,SPY
36714,$146.69,$148.78,$146.25,$148.09,SPY
36717,$147.88,$148.91,$147.53,$147.84,SPY
36718,$147.47,$149.13,$147.16,$148.16,SPY
36719,$149.28,$150.13,$148.69,$149.13,SPY
36720,$149.98,$150.38,$149.19,$149.78,SPY
36721,$150.44,$151.25,$149.67,$151.25,SPY
36724,$150.98,$151.98,$150.69,$151.00,SPY
36725,$150.63,$150.63,$149.34,$149.77,SPY
36726,$149.47,$149.91,$148.25,$148.56,SPY
36727,$149.00,$150.63,$148.81,$150.63,SPY
36728,$149.75,$149.75,$147.69,$147.69,SPY
36731,$148.13,$148.86,$146.56,$146.84,SPY
36732,$147.75,$147.84,$146.78,$147.31,SPY
36733,$146.97,$147.16,$145.64,$145.88,SPY
36734,$145.94,$146.63,$144.69,$145.38,SPY
36735,$145.72,$145.91,$141.52,$142.09,SPY
36738,$142.94,$144.13,$142.06,$143.00,SPY
36739,$143.63,$144.72,$143.13,$143.88,SPY
36740,$143.88,$145.41,$143.63,$144.59,SPY
36741,$142.88,$145.81,$142.63,$145.59,SPY
36742,$146.31,$146.72,$145.41,$146.38,SPY
36745,$146.72,$148.44,$146.38,$148.13,SPY
36746,$147.50,$148.81,$147.50,$148.69,SPY
36747,$149.14,$149.22,$147.38,$147.44,SPY
36748,$147.53,$147.86,$146.28,$146.72,SPY
36749,$146.63,$148.00,$145.56,$147.41,SPY
36752,$147.78,$149.56,$147.06,$149.28,SPY
36753,$149.34,$149.81,$148.56,$149.16,SPY
36754,$149.31,$149.94,$147.84,$148.63,SPY
36755,$148.69,$150.44,$148.34,$150.19,SPY
36756,$150.38,$150.38,$149.22,$149.69,SPY
36759,$150.03,$150.72,$149.41,$150.50,SPY
36760,$150.56,$151.31,$150.09,$150.25,SPY
