date,recession_indicator,country
28491,t,cn
28492,t,cn
28493,t,cn
28494,t,cn
28495,t,cn
28496,t,cn
28497,t,cn
28498,t,cn
28499,t,cn
28500,t,cn
28501,t,cn
28502,t,cn
28503,t,cn
28504,t,cn
28505,t,cn
28506,t,cn
28507,t,cn
28508,t,cn
28509,t,cn
28510,t,cn
28511,t,cn
28512,t,cn
28513,t,cn
28514,t,cn
28515,t,cn
28516,t,cn
28517,t,cn
28518,t,cn
28519,t,cn
28520,t,cn
28521,t,cn
28522,t,cn
28523,t,cn
28524,t,cn
28525,t,cn
28526,t,cn
28527,t,cn
28528,t,cn
28529,t,cn
28530,t,cn
28531,t,cn
28532,t,cn
28533,t,cn
28534,t,cn
28535,t,cn
28536,t,cn
28537,t,cn
28538,t,cn
28539,t,cn
28540,t,cn
28541,t,cn
28542,t,cn
28543,t,cn
28544,t,cn
28545,t,cn
28546,t,cn
28547,t,cn
28548,t,cn
28549,t,cn
28550,t,cn
28551,t,cn
28552,t,cn
28553,t,cn
28554,t,cn
28555,t,cn
28556,t,cn
28557,t,cn
28558,t,cn
28559,t,cn
28560,t,cn
28561,t,cn
28562,t,cn
28563,t,cn
28564,t,cn
28565,t,cn
28566,t,cn
28567,t,cn
28568,t,cn
28569,t,cn
28570,t,cn
28571,t,cn
28572,t,cn
28573,t,cn
28574,t,cn
28575,t,cn
28576,t,cn
28577,t,cn
28578,t,cn
28579,t,cn
28580,t,cn
28581,t,cn
28582,t,cn
28583,t,cn
28584,t,cn
28585,t,cn
28586,t,cn
28587,t,cn
28588,t,cn
28589,t,cn
28590,t,cn
28591,t,cn
28592,t,cn
28593,t,cn
28594,t,cn
28595,t,cn
28596,t,cn
28597,t,cn
28598,t,cn
28599,t,cn
28600,t,cn
28601,t,cn
28602,t,cn
28603,t,cn
28604,t,cn
28605,t,cn
28606,t,cn
28607,t,cn
28608,t,cn
28609,t,cn
28610,t,cn
28611,t,cn
28612,t,cn
28613,t,cn
28614,t,cn
28615,t,cn
28616,t,cn
28617,t,cn
28618,t,cn
28619,t,cn
28620,t,cn
28621,t,cn
28622,t,cn
28623,t,cn
28624,t,cn
28625,t,cn
28626,t,cn
28627,t,cn
28628,t,cn
28629,t,cn
28630,t,cn
28631,t,cn
28632,t,cn
28633,t,cn
28634,t,cn
28635,t,cn
28636,t,cn
28637,t,cn
28638,t,cn
28639,t,cn
28640,t,cn
28641,t,cn
28642,t,cn
28643,t,cn
28644,t,cn
28645,t,cn
28646,t,cn
28647,t,cn
28648,t,cn
28649,t,cn
28650,t,cn
28651,t,cn
28652,t,cn
28653,t,cn
28654,t,cn
28655,t,cn
28656,t,cn
28657,t,cn
28658,t,cn
28659,t,cn
28660,t,cn
28661,t,cn
28662,t,cn
28663,t,cn
28664,t,cn
28665,t,cn
28666,t,cn
28667,t,cn
28668,t,cn
28669,t,cn
28670,t,cn
28671,t,cn
28672,t,cn
28673,t,cn
28674,t,cn
28675,t,cn
28676,t,cn
28677,t,cn
28678,t,cn
28679,t,cn
28680,t,cn
28681,t,cn
28682,t,cn
28683,t,cn
28684,t,cn
28685,t,cn
28686,t,cn
28687,t,cn
28688,t,cn
28689,t,cn
28690,t,cn
28691,t,cn
28692,t,cn
28693,t,cn
28694,t,cn
28695,t,cn
28696,t,cn
28697,t,cn
28698,t,cn
28699,t,cn
28700,t,cn
28701,t,cn
28702,t,cn
28703,t,cn
28704,t,cn
28705,t,cn
28706,t,cn
28707,t,cn
28708,t,cn
28709,t,cn
28710,t,cn
28711,t,cn
28712,t,cn
28713,t,cn
28714,t,cn
28715,t,cn
28716,t,cn
28717,t,cn
28718,t,cn
28719,t,cn
28720,t,cn
28721,t,cn
28722,t,cn
28723,t,cn
28724,t,cn
28725,t,cn
28726,t,cn
28727,t,cn
28728,t,cn
28729,t,cn
28730,t,cn
28731,t,cn
28732,t,cn
28733,t,cn
28734,t,cn
28735,t,cn
28736,t,cn
28737,t,cn
28738,t,cn
28739,t,cn
28740,t,cn
28741,t,cn
28742,t,cn
28743,t,cn
28744,t,cn
28745,t,cn
28746,t,cn
28747,t,cn
28748,t,cn
28749,t,cn
28750,t,cn
28751,t,cn
28752,t,cn
28753,t,cn
28754,t,cn
28755,t,cn
28756,t,cn
28757,t,cn
28758,t,cn
28759,t,cn
28760,t,cn
28761,t,cn
28762,t,cn
28763,t,cn
28764,t,cn
28765,t,cn
28766,t,cn
28767,t,cn
28768,t,cn
28769,t,cn
28770,t,cn
28771,t,cn
28772,t,cn
28773,t,cn
28774,t,cn
28775,t,cn
28776,t,cn
